PL,PW,INL,ML,Frequency,S11
33.0,36.25,7.33333,16,2.1219999790192,-10.796796529698
33.0,36.25,7.33333,18,2.1429998874664,-10.005738493585
33.0,36.25,7.33333,20,2.1670000553131,-10.719023482556
33.0,36.25,8.66667,14,2.125,-15.145811401921
33.0,36.25,8.66667,16,2.1400001049042,-13.423645932449
33.0,36.25,8.66667,18,2.1579999923706,-13.942523067687
33.0,36.25,8.66667,20,2.1670000553131,-16.710125686311
33.0,36.25,10.0,14,2.1340000629425,-22.568273839893
33.0,36.25,10.0,16,2.1459999084473,-22.264456263859
33.0,36.25,10.0,18,2.1549999713898,-29.067596152515
33.0,36.25,10.0,20,2.1579999923706,-28.83072923831
33.0,38.5,6.0,14,2.0950000286102,-13.69831794706
33.0,38.5,6.0,16,2.1010000705719,-10.963188767215
33.0,38.5,6.0,18,2.1159999370575,-9.3296737495172
33.0,38.5,6.0,20,2.1459999084473,-9.0542092134917
33.0,38.5,7.33333,14,2.1040000915527,-14.994748112936
33.0,38.5,7.33333,16,2.1159999370575,-12.381431093479
33.0,38.5,7.33333,18,2.1340000629425,-11.364171907096
33.0,38.5,7.33333,20,2.1549999713898,-12.283729354815
33.0,38.5,8.66667,14,2.1159999370575,-18.255462777992
33.0,38.5,8.66667,16,2.1310000419617,-16.003376774305
33.0,38.5,8.66667,18,2.1459999084473,-16.49131496205
33.0,38.5,8.66667,20,2.1549999713898,-20.444516906
33.0,38.5,10.0,14,2.125,-35.256370663554
33.0,38.5,10.0,16,2.1340000629425,-33.310828617789
33.0,38.5,10.0,18,2.1429998874664,-32.282311984145
33.0,40.75,6.0,14,2.0889999866486,-15.827797628628
33.0,40.75,6.0,16,2.0950000286102,-12.445138240795
33.0,40.75,6.0,18,2.1099998950958,-10.57897859905
33.0,40.75,6.0,20,2.1370000839233,-10.25111154648
33.0,40.75,7.33333,14,2.0980000495911,-17.863356421832
33.0,40.75,7.33333,16,2.1099998950958,-14.347757323787
33.0,40.75,7.33333,18,2.1280000209808,-13.154661328716
33.0,40.75,7.33333,20,2.1429998874664,-14.212627756648
33.0,40.75,8.66667,14,2.1099998950958,-23.553017386368
33.0,40.75,8.66667,16,2.1219999790192,-19.644038342327
33.0,40.75,8.66667,18,2.1370000839233,-20.492263980111
33.0,40.75,8.66667,20,2.1459999084473,-27.253951746991
33.0,40.75,10.0,14,2.1159999370575,-27.383661163309
33.0,40.75,10.0,16,2.125,-28.104862062963
33.0,40.75,10.0,18,2.1340000629425,-22.144996205378
33.0,40.75,10.0,20,2.1370000839233,-16.99196912207
33.0,43.0,6.0,16,2.0889999866486,-14.413780895165
33.0,43.0,6.0,18,2.1040000915527,-12.12693342321
33.0,43.0,6.0,20,2.1280000209808,-11.778677457452
33.0,43.0,7.33333,14,2.0920000076294,-22.205505164911
33.0,43.0,7.33333,16,2.1040000915527,-17.041316584405
33.0,43.0,7.33333,18,2.1189999580383,-15.51755626444
33.0,43.0,7.33333,20,2.1340000629425,-16.87754006439
33.0,43.0,8.66667,14,2.1040000915527,-38.953434304641
33.0,43.0,8.66667,16,2.1159999370575,-26.108475223116
33.0,43.0,8.66667,18,2.1280000209808,-28.006356815086
33.0,43.0,8.66667,20,2.1340000629425,-36.309045110133
33.0,43.0,10.0,14,2.1099998950958,-19.885071285441
33.0,43.0,10.0,16,2.1159999370575,-20.313275327763
33.0,43.0,10.0,18,2.125,-17.450851165893
